belongs_to_collection,release_date,title,vote_average
"{'id': 261203, 'name': 'Street Fighter', 'poster_path': '/srmcIOxfqARcnHmgHLVNzzFM2RV.jpg', 'backdrop_path': '/u5w0uNoQDqUkmErqMsh4RVVOgyy.jpg'}",12/22/1994,Street Fighter,4.1
,9/15/1995,Coldblooded,6.7
,12/31/1997,Desert Winds,0
,5/13/1995,Fall Time,6.3
"{'id': 439409, 'name': 'Fear Collection', 'poster_path': None, 'backdrop_path': None}",1/20/1995,The Fear,3.4
,10/20/1995,Frank and Ollie,7.5
,10/24/1995,Girl in the Cadillac,10
,5/3/1995,Homage,0
,11/21/1995,Mirage,4
,5/3/1996,Open Season,0
,5/26/1995,Dos Crímenes,5
,3/1/1995,Brother Minister: The Assassination of Malcolm X,4
"{'id': 8050, 'name': 'Highlander Collection', 'poster_path': '/mNIXoyFicGseg9NoG3NHKZolKze.jpg', 'backdrop_path': '/gY5NPUGGJJdaGPlEM6f2pfHNtit.jpg'}",11/29/1994,Highlander: The Final Dimension,4.5
,2/24/1995,Federal Hill,5
,12/12/1994,In the Mouth of Madness,7.1
,2/25/1994,8 Seconds,7.2
,3/23/1994,Above the Rim,6.7
"{'id': 11716, 'name': 'Addams Family Collection', 'poster_path': '/iqAjYCir8x2fc8eeQ2k4qZqOMP1.jpg', 'backdrop_path': '/gS5yZLrSJ6uNbsz17xoxf70X2Ws.jpg'}",11/19/1993,Addams Family Values,6.5
,4/27/1994,Martin Lawrence: You So Crazy,4.5
,9/17/1993,The Age of Innocence,7
,8/5/1994,Airheads,5.8
,1/7/1994,The Air Up There,5.1
"{'id': 162028, 'name': 'Stakeout Collection', 'poster_path': '/oGai5vrDh7VkuTfsJjO31OcEXQk.jpg', 'backdrop_path': None}",7/22/1993,Another Stakeout,4.9
,4/22/1994,Bad Girls,4.6
,7/29/1994,Barcelona,6.6
,5/6/1994,Being Human,5
,10/15/1993,The Beverly Hillbillies,5
"{'id': 85861, 'name': 'Beverly Hills Cop Collection', 'poster_path': '/fjKbHh7GpTARbiLj0RF7zc5iD0G.jpg', 'backdrop_path': '/lhZQuT76B9YcxZIudXZMhhWCKcl.jpg'}",5/24/1994,Beverly Hills Cop III,5.5
,7/29/1994,Black Beauty,6.6
,1/26/1994,Blink,6.3
,7/1/1994,Blown Away,6
,2/18/1994,Blue Chips,5.7
,9/16/1994,Blue Sky,6.1
,6/9/1993,Body Snatchers,5.8
,6/18/1993,Boxing Helena,4.5
,9/14/1993,A Bronx Tale,7.4
,1/7/1994,Cabin Boy,4.9
,9/3/1993,Calendar Girl,3.7
,11/10/1993,Carlito's Way,7.7
"{'id': 150156, 'name': 'City Slickers Collection', 'poster_path': '/1xHwbqIfBQvxNCkdJwQ5vxFwI5H.jpg', 'backdrop_path': '/qv2Bcy963o42k65v0km97G1ceZ4.jpg'}",6/10/1994,City Slickers II: The Legend of Curly's Gold,4.9
,5/6/1994,Clean Slate,5.7
,5/28/1993,Cliffhanger,6.1
,7/23/1993,Coneheads,4.8
,8/19/1994,Color of Night,5.4
,4/15/1994,Cops & Robbersons,5
,6/3/1994,The Cowboy Way,5.1
,11/19/1993,Dangerous Game,5.4
,5/7/1993,Dave,6.3
,9/24/1993,Dazed and Confused,7.4
,10/8/1993,Demolition Man,6.4
"{'id': 252313, 'name': 'The Endless Summer Collection', 'poster_path': '/zhG3P4ALlXxoFi0CGfcVsR3qmDL.jpg', 'backdrop_path': '/rbeqwDmy0yPMxBqA2ELvu08okcn.jpg'}",6/3/1994,The Endless Summer 2,7.1
,5/13/1994,Even Cowgirls Get the Blues,4.2
,10/29/1993,Fatal Instinct,5.4
,9/16/1993,Farewell My Concubine,7.8
,4/29/1994,The Favor,3.3
,10/15/1993,Fearless,6.8
,10/28/1994,Fear of a Black Hat,5.8
,4/29/1994,With Honors,6.1
,11/5/1993,Flesh and Bone,6.2
,5/13/1994,Widows' Peak,4.3
,10/1/1993,For Love or Money,5.7
,6/30/1993,The Firm,6.6
"{'id': 9328, 'name': 'Free Willy Collection', 'poster_path': '/3M2Q9ZDTyFBfi3ohz2gizFmnoL0.jpg', 'backdrop_path': '/aef15QAJ8Kxbh8W5zXqJb1f9Vhw.jpg'}",7/16/1993,Free Willy,6
,8/24/1994,Fresh,7.6
"{'id': 134011, 'name': 'The Fugitive / U.S. Marshals Collection', 'poster_path': '/idhUzfuEC24PTYhkWasivjoA3O0.jpg', 'backdrop_path': '/9xbrJQoHkTgkXY8oDsTmND0FiEX.jpg'}",8/6/1993,The Fugitive,7.2
,12/10/1993,Geronimo: An American Legend,5.9
,2/11/1994,The Getaway,5.4
,6/17/1994,Getting Even with Dad,4.5
,6/10/1994,Go Fish,3.9
,7/14/1994,A Good Man in Africa,5.2
,6/4/1993,Guilty as Sin,5.6
"{'id': 412680, 'name': 'Hard Target Collection', 'poster_path': '/g7Bc4ik16xOBz21BQOcsxrBL8BO.jpg', 'backdrop_path': '/wcBIwQY888HX1QWpnv43lAujoId.jpg'}",8/20/1993,Hard Target,6.1
,12/24/1993,Heaven & Earth,6.4
"{'id': 52988, 'name': 'Hot Shots! Collection', 'poster_path': '/5uzldxeEVqvdaZhE4uCT9TTz9p1.jpg', 'backdrop_path': '/iGrRouADMV9MbidImsgRORaV3q.jpg'}",5/21/1993,Hot Shots! Part Deux,6.2
,12/8/1995,Live Nude Girls,4.7
,5/12/1995,The Englishman Who Went Up a Hill But Came Down a Mountain,6.1
,10/19/1993,The House of the Spirits,6.7
"{'id': 159600, 'name': 'House Party Collection', 'poster_path': '/hwaQA1SEoiWsacESz0IMaDQ3vVV.jpg', 'backdrop_path': None}",1/1/1994,House Party 3,4.6
,3/11/1994,The Hudsucker Proxy,7.1
,2/4/1994,I'll Do Anything,5.7
,8/12/1994,In the Army Now,4.7
,7/8/1993,In the Line of Fire,6.8
,12/12/1993,In the Name of the Father,7.6
,4/22/1994,The Inkwell,3.9
,6/9/1993,What's Love Got to Do with It,6.9
,3/30/1994,Jimmy Hollywood,4.6
,10/15/1993,Judgment Night,6.4
"{'id': 328, 'name': 'Jurassic Park Collection', 'poster_path': '/qIm2nHXLpBBdMxi8dvfrnDkBUDh.jpg', 'backdrop_path': '/pJjIH9QN0OkHFV9eue6XfRVnPkr.jpg'}",6/11/1993,Jurassic Park,7.6
,9/1/1993,Kalifornia,6.5
,10/1/1993,Killing Zoe,6.1
,8/20/1993,King of the Hill,6.4
,7/22/1994,Lassie,6.1
,6/18/1993,Last Action Hero,6.1
,6/4/1993,Life With Mikey,5.1
,3/11/1994,Lightning Jack,5.7
,9/9/1993,M. Butterfly,6.6
,5/27/1993,Made in America,5.3
,9/29/1993,Malice,5.9
,8/25/1993,The Man without a Face,6.2
,8/18/1993,Manhattan Murder Mystery,7.1
,5/26/1993,Menace II Society,7.2
,3/15/1996,Executive Decision,5.8
,5/15/1976,In the Realm of the Senses,6.5
,9/9/1994,What Happened Was...,7
,5/7/1993,Much Ado About Nothing,7.2
,10/8/1993,Mr. Jones,5.9
,10/15/1993,Mr. Wonderful,5.5
,11/24/1993,Mrs. Doubtfire,7
,9/14/1993,Naked,7.5
"{'id': 8580, 'name': 'The Karate Kid Collection', 'poster_path': '/o6h2F0C5eZOy50Q76fNYzc9mvvw.jpg', 'backdrop_path': '/1ok5JGCsDt4Sh3CkFeXh2F2KB7F.jpg'}",7/18/1994,The Next Karate Kid,4.8
,9/16/1994,The New Age,4.8
,4/29/1994,No Escape,6.1
,7/22/1994,North,4.8
,9/1/1992,Orlando,6.7
,11/24/1993,A Perfect World,7.2
,12/22/1993,Philadelphia,7.6
,5/19/1993,The Piano,7.1
,7/23/1993,Poetic Justice,6.9
,9/24/1993,The Program,6
,10/21/1994,The Puppet Masters,5.6
,10/21/1994,Radioland Murders,5.8
,3/9/1994,The Ref,6.7
,11/5/1993,The Remains of the Day,7.5
,6/3/1994,Renaissance Man,5.9
,7/30/1993,Rising Sun,5.8
,10/28/1994,The Road to Wellville,5.5
"{'id': 5547, 'name': 'RoboCop Collection', 'poster_path': '/foJBQb9oEOH0mGh77tXyoxXCfzU.jpg', 'backdrop_path': '/azQScQWHpz5puIV4YeCcqgiT9Tn.jpg'}",4/17/1993,RoboCop 3,4.2
,7/28/1993,Robin Hood: Men in Tights,6.4
,9/13/1993,Romeo Is Bleeding,5.7
,3/5/1992,Romper Stomper,6.6
,10/8/1993,Ruby in Paradise,5.6
,9/17/1993,Rudy,7.2
,11/3/1993,The Saint of Fort Washington,4
,8/19/1992,Savage Nights,6.2
,11/29/1993,Schindler's List,8.3
,9/30/1994,The Scout,5.3
,8/13/1993,Searching for Bobby Fischer,7.3
,9/30/1994,Second Best,5.9
"{'id': 462565, 'name': 'The Secret Garden Collection', 'poster_path': '/zy16gzORcFshGK3oE9W6dhQ8yRZ.jpg', 'backdrop_path': '/tpNVr5BikRH4tkNJPbYM6Q9yD1a.jpg'}",8/13/1993,The Secret Garden,7.1
,4/13/1994,Serial Mom,6.4
"{'id': 105075, 'name': 'The Shadow Collection', 'poster_path': '/s3ymS1GDfSYmMKmIdCBMc0fbVni.jpg', 'backdrop_path': '/ntIfzZNGz2aHRumYM7P8vqLJv6W.jpg'}",7/1/1994,The Shadow,5.4
,12/25/1993,Shadowlands,6.8
,9/5/1993,Short Cuts,6.9
,9/2/1994,A Simple Twist of Fate,5.7
,10/1/1993,Sirens,5.2
,12/8/1993,Six Degrees of Separation,6.5
,6/24/1993,Sleepless in Seattle,6.5
,5/21/1993,Sliver,4.9
"{'id': 422837, 'name': 'Blade Runner Collection', 'poster_path': '/foT46aJ7QPUFDl3CK8ArDl0JaZX.jpg', 'backdrop_path': '/57zhlMYblPute6qb8v16ZmGSPVv.jpg'}",6/25/1982,Blade Runner,7.9
,7/2/1993,Son in Law,5.6
,7/30/1993,So I Married an Axe Murderer,6.1
,9/17/1993,Striking Distance,5.4
,11/20/1985,Harem,4
,5/28/1993,Super Mario Bros.,4
,4/15/1994,Surviving the Game,6.1
,9/23/1994,Terminal Velocity,5
,11/26/1993,Thirty Two Short Films About Glenn Gould,7.4
,4/8/1994,Threesome,6.3
,10/9/1993,The Nightmare Before Christmas,7.6
,11/11/1993,The Three Musketeers,6.2
,12/25/1993,Tombstone,7.4
,9/9/1994,Trial by Jury,5.5
,9/9/1993,True Romance,7.5
,12/5/1993,The War Room,7.3
,11/23/1994,The Pagemaster,6.2
,2/4/1994,"Paris, France",6
,1/1/1994,"The Beans of Egypt, Maine",0
,9/14/1994,Killer,3
,5/24/1995,Welcome to the Dollhouse,6.9
,9/29/1993,Germinal,6.3
,4/22/1994,Chasers,4.7
,9/12/1993,Cronos,6.4
,11/10/1993,Naked in New York,4
,10/28/1993,Kika,6.8
,1/21/1994,Bhaji on the Beach,5.1
,6/29/1994,Little Big League,6
,9/24/1993,The Slingshot,6.2
,9/5/1993,Wide Eyed and Legless,0
,7/29/1994,Foreign Student,0
,10/1/1992,"Ciao, Professore!",7.2
,1/15/1994,Spanking the Monkey,5.3
,8/5/1994,The Little Rascals,6.3
,9/10/1993,À la mode,0
,8/17/1994,Andre,5
,1/1/1993,The Escort,5
,9/16/1994,Princess Caraboo,4.4
,1/30/1996,The Celluloid Closet,7
,1/1/1993,Café au Lait,6.8
,10/12/1993,Dear Diary,6.9
,5/20/1993,I Don't Want to Talk About It,6
"{'id': 224478, 'name': 'The Brady Bunch Collection', 'poster_path': '/cXW4na1zatUrsxgsssY8uwJ6A3t.jpg', 'backdrop_path': None}",2/16/1995,The Brady Bunch Movie,5.9
"{'id': 9888, 'name': 'Home Alone Collection', 'poster_path': '/zYPsleQJo1n1rBPlecJBRb3iwSO.jpg', 'backdrop_path': '/cYS2aWxECESUN2OS3JiLrKMmOko.jpg'}",11/9/1990,Home Alone,7.1
,7/12/1990,Ghost,6.9
"{'id': 86027, 'name': 'Aladdin Collection', 'poster_path': '/enl57YvMhTAdic6El5rfZppyzq2.jpg', 'backdrop_path': '/naeLgo2bt4WKfHF4BTrG6mkmjiY.jpg'}",11/25/1992,Aladdin,7.4
"{'id': 528, 'name': 'The Terminator Collection', 'poster_path': '/vxiKtcxAJxHhlg2H1X8y7zcM3k6.jpg', 'backdrop_path': '/cpmbkwSxZnKO69V82A9a34tvk2E.jpg'}",7/1/1991,Terminator 2: Judgment Day,7.7
,11/9/1990,Dances with Wolves,7.6
,2/14/1995,Tough and Deadly,6.3
"{'id': 120794, 'name': 'Batman Collection', 'poster_path': '/adQxUvQW8HXNsvMG5aj71pHh9T.jpg', 'backdrop_path': '/9SpZvXLZDGGtFqVDByGqSGI64Kw.jpg'}",6/23/1989,Batman,7
"{'id': 9743, 'name': 'The Hannibal Lecter Anthology', 'poster_path': '/aRbyr3KsdmIczGh6VrlvlgQdwMQ.jpg', 'backdrop_path': '/npCbvak9UhjPsZB9Oa2k2jsqI7E.jpg'}",2/1/1991,The Silence of the Lambs,8.1
,12/20/1937,Snow White and the Seven Dwarfs,6.9
"{'id': 153010, 'name': 'Beauty and the Beast Collection', 'poster_path': '/mIzZxNAT1GIFaEoPYdJsUKC23Oj.jpg', 'backdrop_path': '/obOhJ6VC1IGvlxQYLp1KmjrTbt5.jpg'}",11/13/1991,Beauty and the Beast,7.5
,2/23/1940,Pinocchio,6.9
,3/23/1990,Pretty Woman,7
,12/1/1993,Window to Paris,6
,6/17/1969,The Wild Bunch,7.7
,11/23/1994,Love and a .45,5.5
,2/5/1994,The Wooden Man's Bride,6.5
,9/27/1994,A Great Day in Harlem,7
,3/16/1995,Bye Bye Love,6.1
,12/20/1996,One Fine Day,6.1
"{'id': 98580, 'name': 'Candyman Collection', 'poster_path': '/7yGuKyI0YOBZcOcfwP90WkAbwgD.jpg', 'backdrop_path': '/hJjCx4njVdHJobhvr84e5J6MgTw.jpg'}",3/17/1995,Candyman: Farewell to the Flesh,5
,12/31/1993,Century,5
,4/5/1996,Fargo,7.7
"{'id': 43058, 'name': 'Homeward Bound Collection', 'poster_path': '/4S9WMNUJFzxKOjcoS1mGrKFfygI.jpg', 'backdrop_path': None}",3/8/1996,Homeward Bound II: Lost in San Francisco,6
"{'id': 141086, 'name': 'Heavy Metal Collection', 'poster_path': '/tPzcbhK32OqnYmOccqbRw0eje7a.jpg', 'backdrop_path': '/iao9hIahX41T1Lxpa5h62J28rQF.jpg'}",8/7/1981,Heavy Metal,6.3
"{'id': 8917, 'name': 'Hellraiser Collection', 'poster_path': '/lIK0UgJsA18Z5I1PwpucXzgyF3A.jpg', 'backdrop_path': '/uaEUgCqB6lGkvM4Wy5blNwLJdfa.jpg'}",3/8/1996,Hellraiser: Bloodline,4.9
,5/3/1996,The Pallbearer,4.6
,2/9/1996,Jane Eyre,7.1
,4/12/1996,Loaded,4
,5/5/1974,Bread and Chocolate,7.1
,12/23/1970,The Aristocats,7.1
,9/22/1995,The Flower of My Secret,6.9
,2/14/1996,Two Much,5.1
,3/15/1996,Ed,3.6
,1/1/1991,Scream of Stone,7.5
,5/14/1993,My Favorite Season,6.4
,9/6/1996,A Modern Affair,5
,12/8/1995,Condition Red,4.7
,1/1/1990,Halfaouine: Boy of the Terraces,7.4
,4/4/1996,A Thin Line Between Love and Hate,5.7
,9/8/1995,The Last Supper,6.5
,4/3/1996,Primal Fear,7.4
,9/8/1995,Rude,6
,1/26/1996,Carried Away,5.4
"{'id': 140910, 'name': 'All Dogs Go to Heaven Collection', 'poster_path': '/yzuYenLnjAHbTPeu7DLAySbcNGi.jpg', 'backdrop_path': '/5JaMQn0PtPWGDIeGV8oqXSvJDKk.jpg'}",3/29/1996,All Dogs Go to Heaven 2,5
,1/1/1995,Land and Freedom,7
,5/17/1995,Denise Calls Up,6.6
,12/14/1995,Theodore Rex,3.6
,3/29/1996,A Family Thing,5.6
,3/22/1996,Frisk,3
,3/29/1996,Sgt. Bilko,5.5
,6/2/1995,Jack & Sarah,5.1
,3/22/1996,Girl 6,5.7
,3/22/1996,Diabolique,5.4
,12/14/1994,"Little Indian, Big City",6
,9/11/1995,Roula,5
,3/21/1996,Peanuts – Die Bank zahlt alles,4
,3/14/1996,Happy Weekend,0
,4/12/1996,Nelly and Monsieur Arnaud,7.1
,7/4/1996,Courage Under Fire,6.2
"{'id': 87359, 'name': 'Mission: Impossible Collection', 'poster_path': '/gwyJPIhCK4Xz2WogeBnhCSQfUek.jpg', 'backdrop_path': '/49L0c5utmm0A4BkeDafM9BOhyBT.jpg'}",5/22/1996,Mission: Impossible,6.7
,2/10/1995,Cold Fever,7.7
,6/14/1996,Moll Flanders,6.2
,3/6/1996,The Superwife,5.3
,4/22/1995,"301, 302",6.2
"{'id': 169452, 'name': 'DragonHeart Collection', 'poster_path': '/bZsqwJnO65wlZ3ez7dopUQMYALY.jpg', 'backdrop_path': '/hRucBWgzCc7iA9avUE2k5gc7dkj.jpg'}",5/31/1996,DragonHeart,6.4
,2/29/1996,Und keiner weint mir nach,0
,9/12/1995,My Mother's Courage,0
,5/31/1996,Eddie,5.4
,12/1/1993,Yankee Zulu,6
,7/26/1995,Billy's Holiday,0
,3/10/1960,Purple Noon,7.3
,8/8/1996,August,5.3
,4/12/1996,James and the Giant Peach,6.2
,4/12/1996,Fear,6.1
,4/2/1996,Kids in the Hall: Brain Candy,5.9
,4/3/1996,Faithful,4.8
,4/11/1995,Underground,7.5
,3/8/1995,All Things Fair,6.1
"{'id': 36694, 'name': 'Bloodsport Collection', 'poster_path': '/sTqv7FQalXNVGSpfSJaWek077w9.jpg', 'backdrop_path': '/1DXtjAAaK7597GV5MSZH6nn0uqS.jpg'}",3/1/1996,Bloodsport II,5.2
"{'id': 158391, 'name': 'The Apu Collection', 'poster_path': '/kDZJiqL5bCWsbdw2WFqwQoYLUhj.jpg', 'backdrop_path': '/b5zCX85EvJpizJzA2WaQmkd6DN6.jpg'}",8/26/1955,Pather Panchali,7.9
"{'id': 158391, 'name': 'The Apu Collection', 'poster_path': '/kDZJiqL5bCWsbdw2WFqwQoYLUhj.jpg', 'backdrop_path': '/b5zCX85EvJpizJzA2WaQmkd6DN6.jpg'}",5/1/1959,The World of Apu,8.2
,4/19/1996,Mystery Science Theater 3000: The Movie,7
,3/15/1996,Tarantella,0
,11/15/1996,Space Jam,6.5
,10/10/1968,Barbarella,5.7
,1/1/1995,Hostile Intentions,8
,1/1/1996,They Bite,5.5
,3/26/1994,Some Folks Call It a Sling Blade,7.5
,9/22/1995,The Run of the Country,8
"{'id': 144146, 'name': 'Lemmy Caution Collection', 'poster_path': '/uhLJqJT2nC0CL4AnC6FNH1AolH5.jpg', 'backdrop_path': '/m8ENhvf3ZL295uPZKVzQQE6Wruq.jpg'}",5/5/1965,Alphaville,6.8
,11/4/1981,Coup de Torchon,6.8
,1/1/1994,Tigrero: A Film That Was Never Made,7.5
,5/20/1993,The Eye of Vichy,0
,1/18/1980,Windows,5.8
,3/22/1996,It's My Party,6.2
,10/27/1994,Country Life,8
,7/28/1995,Operation Dumbo Drop,4.7
,2/16/1995,The Promise,5
,4/19/1996,Mrs. Winterbourne,5.5
,10/23/1996,Solo,3.9
,1/1/1994,Under The Domim Tree,6.5
"{'id': 143766, 'name': 'The Substitute Collection', 'poster_path': '/hImw5aICI3kqEFARKVBzHkehVWb.jpg', 'backdrop_path': None}",4/19/1996,The Substitute,5.8
,3/12/1996,True Crime,5.1
,8/18/1995,Butterfly Kiss,7.4
,9/13/1996,Feeling Minnesota,5.5
,6/9/1995,Delta of Venus,3.3
,1/1/1991,To Cross the Rubicon,0
,9/15/1995,Angus,6.8
,9/1/1992,Priest Daens,6.7
,11/24/1968,Faces,7.1
,5/10/1996,Boys,5.3
,4/19/1996,The Quest,5.3
,3/4/1996,Cosi,7.1
,4/26/1996,Sunset Park,5.1
,4/26/1996,Mulholland Falls,6.2
,4/26/1996,The Truth About Cats & Dogs,5.7
,11/18/1988,Oliver & Company,6.5
,4/19/1996,Celtic Pride,4.9
,5/17/1996,Flipper,5.3
,5/3/1994,Captives,6
,5/10/1994,Of Love and Shadows,4.4
,12/23/1995,Dead Man,7.2
,9/20/1995,The Horseman on the Roof,6.7
,1/5/1975,Switchblade Sisters,6.6
,11/10/1995,Mouth to Mouth,5.5
"{'id': 52888, 'name': 'The Visitors Collection', 'poster_path': '/tqLSEkKYdkFCqsNHP1v9pnr0sl.jpg', 'backdrop_path': '/ywYnkeaa7LZBU1bW8zavPwzve4X.jpg'}",1/27/1993,The Visitors,7.1
,7/19/1996,Multiplicity,5.5
,5/1/1996,"The Haunted World of Edward D. Wood, Jr.",10
,3/20/2002,Two Friends,0
,5/3/1996,The Craft,6.3
,5/3/1996,The Great White Hype,5.1
,5/2/1996,Last Dance,5.6
,,War Stories Our Mother Never Told Us,0
,1/1/1995,Cold Comfort Farm,7
,8/1/1995,"Institute Benjamenta, or This Dream People Call Human Life",7.7
,5/17/1996,Heaven's Prisoners,5
,5/10/1996,Original Gangstas,5.5
,6/6/1996,The Rock,6.9
,4/12/1996,Getting Away with Murder,5.5
,3/25/1994,Cemetery Man,7
,5/10/1996,Twister,6.1
,5/2/1996,Barb Wire,3.9
,10/31/1995,Le Garçu,5
,4/11/1996,Honeymoon,0
"{'id': 23026, 'name': 'Ghost in the Shell Collection', 'poster_path': '/xEQVBrAd1hWtwCeK39RQ84CRqB7.jpg', 'backdrop_path': '/xt0E8CHXzLxEoiPqrjZMRrM4Izi.jpg'}",11/18/1995,Ghost in the Shell,7.8
,10/25/1996,Thinner,5.5
,5/24/1996,Spy Hard,4.9
,8/23/1995,Brothers in Trouble,0
"{'id': 529, 'name': 'Wallace & Gromit Collection', 'poster_path': '/993pCCMO9g9RQUtNDxQgE1B330H.jpg', 'backdrop_path': '/huyrvVKEKa9czUY89fnvaAVAtkX.jpg'}",12/24/1995,A Close Shave,7.5
,12/25/1948,Force of Evil,6.6
,8/30/1996,The Stupids,4.2
"{'id': 116661, 'name': 'The Arrival Collection', 'poster_path': '/oBBLM2XzrBwjmwWRsPmZ4UuBe7g.jpg', 'backdrop_path': '/rEk9ZLfrYXL87CMEddMaYAOwC39.jpg'}",5/31/1996,The Arrival,6.1
,8/4/1943,The Man from Down Under,0
,1/29/1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8
,9/30/1992,Careful,7.8
,,Vermont Is for Lovers,0
,9/11/1995,A Month by the Lake,7.2
,11/3/1995,Gold Diggers: The Secret of Bear Mountain,5.8
,12/7/1950,Kim,7
,4/13/1995,Carmen Miranda: Bananas Is My Business,10
,9/16/1994,Ashes of Time,7.1
,4/1/1994,The Jar,8
,11/10/1995,Maya Lin: A Strong Clear Vision,0
,1/21/1993,Stalingrad,7.4
,6/6/1996,The Phantom,4.7
,6/28/1996,Striptease,4.4
,12/6/1996,The Last of the High Kings,5.7
,1/20/1995,Heavy,7.7
,8/9/1996,Jack,5.9
,5/1/1996,I Shot Andy Warhol,6.1
,9/10/1995,The Grass Harp,6.1
,9/9/1995,Someone Else's America,0
,11/17/1987,Life is Rosy,6.5
,5/26/1992,Quartier Mozart,5
"{'id': 303969, 'name': 'Martin Scorsese’s World Cinema Project, Vol. 1', 'poster_path': '/nbR7Hniq5qzkF2ma0VkDXQCUTd5.jpg', 'backdrop_path': None}",7/1/1973,Touki Bouki,7.3
,1/1/1982,God's Gift,5
,5/16/1968,Spirits of the Dead,5.5
,5/4/1994,Babyfever,0
,1/1/1995,Pharaoh's  Army,6.3
"{'id': 424202, 'name': 'Trainspotting Collection', 'poster_path': '/6W9nyZ3Daq4zHkfTRIzNgWg6ai6.jpg', 'backdrop_path': '/rIrAfUd5wjkGoDkecNx1aXjGJLu.jpg'}",2/23/1996,Trainspotting,7.8
,5/30/1997,Til There Was You,3.9
"{'id': 304378, 'name': 'Independence Day Collection', 'poster_path': '/diCxphvzqas0Tr5eq7tLUzg5M7d.jpg', 'backdrop_path': '/p7oqa94XgNGVMazXwR49QfyGgtx.jpg'}",6/25/1996,Independence Day,6.7
,3/29/1996,Stealing Beauty,6.6
,8/15/1996,The Fan,5.7
"{'id': 97456, 'name': 'The Hunchback of Notre Dame Collection', 'poster_path': '/vX0k6lP6tBi8XHdvNtOvsbNgyxM.jpg', 'backdrop_path': '/oAq4tE4fTXfsWz35kyajoWNzHfo.jpg'}",6/21/1996,The Hunchback of Notre Dame,6.8
,6/10/1996,The Cable Guy,5.7
,7/4/1996,Kingpin,6.7
,6/21/1996,Eraser,5.6
,1/1/1995,The Gate of Heavenly Peace,6.7
"{'id': 86028, 'name': 'The Nutty Professor Collection', 'poster_path': '/a6zC38ID7EyAflo8tsPDP4IE0Mt.jpg', 'backdrop_path': '/mW1NQFOSCwwgk03SpcpwiQEL2Lo.jpg'}",6/26/1996,The Nutty Professor,5.4
,8/9/1990,"I, the Worst of All",6.8
,5/15/1994,An Unforgettable Summer,7.2
,1/1/1987,A Hungarian Fairy Tale,0
,1/1/1993,My Life and Times With Antonin Artaud,8
,9/9/1994,Midnight Dancers,7
,9/27/1994,Somebody to Love,5.1
,1/1/1974,A Very Natural Thing,6.3
,9/18/1991,The Old Lady Who Walked in the Sea,0
,12/6/1996,Daylight,5.8
,7/18/1996,The Frighteners,6.7
,6/21/1996,Lone Star,6.9
,7/10/1996,Harriet the Spy,5.7
,7/5/1996,Phenomenon,6.2
,7/17/1996,Walking and Talking,6.6
,8/26/1996,She's the One,5.7
,7/24/1996,A Time to Kill,7
,9/13/1996,American Buffalo,6.2
,3/22/1995,Rendezvous in Paris,6.5
,8/14/1996,Alaska,5.2
,7/19/1996,Fled,5.2
,7/17/1996,Kazaam,3.6
,10/23/1994,Magic Hunter,6
,10/31/1996,Larger Than Life,5.4
,5/22/1996,A Boy Called Hate,6
,5/17/1996,Power 98,4
,9/10/1995,Two Deaths,7
"{'id': 224478, 'name': 'The Brady Bunch Collection', 'poster_path': '/cXW4na1zatUrsxgsssY8uwJ6A3t.jpg', 'backdrop_path': None}",8/23/1996,A Very Brady Sequel,5.8
,5/26/1993,Stefano Quantestorie,6
,9/21/1956,Death in the Garden,7.4
,1/1/1992,Hedd Wyn,6.5
,3/2/1967,La Collectionneuse,6.5
,9/11/1993,Kaspar Hauser,6.3
,5/30/1996,Regular Guys,5.2
,6/20/1996,Diebinnen,4
,9/6/1995,The Convent,6.5
,7/26/1996,The Adventures of Pinocchio,5
,7/26/1996,Joe's Apartment,5
,9/20/1996,The First Wives Club,6.5
,10/1/1995,Stonewall,7.2
,11/8/1996,Ransom,6.4
,10/25/1996,High School High,5.4
,8/2/1996,Phat Beach,5.4
,8/23/1996,Foxfire,6.3
,8/2/1996,Chain Reaction,5.3
,8/2/1996,Matilda,6.9
,8/2/1996,Emma,6.7
"{'id': 9436, 'name': 'The Crow Collection', 'poster_path': '/kfU8OZptlBfR5DL9LNGL301Zmlz.jpg', 'backdrop_path': '/6sGKUZfV4g5d2LT4CsG89o0416W.jpg'}",8/29/1996,The Crow: City of Angels,5.2
,8/14/1996,House Arrest,5
,1/11/1960,Eyes Without a Face,7.5
"{'id': 115142, 'name': 'Tales from the Crypt Collection', 'poster_path': '/mjP1Ktqz3VCyX2akRAIjgxaALwx.jpg', 'backdrop_path': '/o9Nll2BovcZ9EDmBBMmnHx99wP4.jpg'}",8/16/1996,Bordello of Blood,5
,6/1/1995,Lotto Land,7
,3/30/1994,The Story of Xinghua,0
,1/1/1994,The Day the Sun Turned Cold,7
,9/14/1995,Flirt,7.5
,9/6/1996,The Big Squeeze,5
,8/23/1996,The Spitfire Grill,6.8
"{'id': 115838, 'name': 'Escape From ... Collection', 'poster_path': '/8Zih8QGPJNXUuws0fIZmjxjs2Su.jpg', 'backdrop_path': '/c9mWaF2oeodriDLqYQr425sasxo.jpg'}",8/9/1996,Escape from L.A.,5.6
,1/1/1995,Cyclo,6.8
,8/9/1996,Basquiat,6.6
,8/16/1996,Tin Cup,5.9
